year,chamber,party,term,count_per_1000
2018,House,Democrat,amnesty,0.0
2018,House,Democrat,asylum,0.0
2018,House,Democrat,border,0.10649627263045792
2018,House,Democrat,border crisis,0.0
2018,House,Democrat,border security,0.0
2018,House,Democrat,caravan,0.0
2018,House,Democrat,cbp,0.0
2018,House,Democrat,child detention,0.0
2018,House,Democrat,citizenship,0.3196596279236705
2018,House,Democrat,daca,1.0587099011939205
2018,House,Democrat,deportation,0.4557960591702546
2018,House,Democrat,detention,0.0
2018,House,Democrat,dreamer,5.0063678939455984
2018,House,Democrat,family separation,0.0
2018,House,Democrat,ice,0.0
2018,House,Democrat,illegal alien,0.0
2018,House,Democrat,immigrant,1.5552164003505513
2018,House,Democrat,immigration,0.5072634760316924
2018,House,Democrat,mexico,0.0
2018,House,Democrat,migrant,1.5552164003505513
2018,House,Democrat,path to citizenship,0.028538812785388126
2018,House,Democrat,refugee,0.11614401858304296
2018,House,Democrat,unauthorized,0.0
2018,House,Democrat,undocumented,0.1212121212121212
2018,House,Democrat,visa,0.2789400278940028
2018,House,Democrat,wall,0.10649627263045792
2018,House,Republican,amnesty,1.1000954773708085
2018,House,Republican,asylum,0.0
2018,House,Republican,border,3.175677863416186
2018,House,Republican,border crisis,0.0
2018,House,Republican,border security,0.509494435995453
2018,House,Republican,caravan,0.0
2018,House,Republican,cbp,0.0
2018,House,Republican,child detention,0.0
2018,House,Republican,citizenship,0.14965579167913798
2018,House,Republican,daca,1.1811854416800334
2018,House,Republican,deportation,0.0
2018,House,Republican,detention,0.0
2018,House,Republican,dreamer,1.1480724039477093
2018,House,Republican,family separation,0.0
2018,House,Republican,ice,0.6501311188811189
2018,House,Republican,illegal alien,0.4973474801061008
2018,House,Republican,immigrant,2.059385113613399
2018,House,Republican,immigration,4.6447341130342
2018,House,Republican,mexico,0.4858785855290505
2018,House,Republican,migrant,2.059385113613399
2018,House,Republican,path to citizenship,0.0
2018,House,Republican,refugee,0.0
2018,House,Republican,unauthorized,0.0
2018,House,Republican,undocumented,0.1403705783267827
2018,House,Republican,visa,0.1858045336306206
2018,House,Republican,wall,0.17403411068569444
2019,House,Democrat,amnesty,0.0
2019,House,Democrat,asylum,0.0
2019,House,Democrat,border,3.7254115429454946
2019,House,Democrat,border crisis,0.0
2019,House,Democrat,border security,1.8947195330093956
2019,House,Democrat,caravan,0.0
2019,House,Democrat,cbp,0.0
2019,House,Democrat,child detention,0.0
2019,House,Democrat,citizenship,0.0
2019,House,Democrat,daca,0.0
2019,House,Democrat,deportation,0.0
2019,House,Democrat,detention,0.0
2019,House,Democrat,dreamer,0.0
2019,House,Democrat,family separation,0.0
2019,House,Democrat,ice,0.28612303290414876
